CWE,TP,FP,FN,Precision,Recall,F1
CWE-190,0,16,58,0.0,0.0,0.0
CWE-191,0,5,18,0.0,0.0,0.0
CWE-252,0,0,375,0.0,0.0,0.0
CWE-362,0,0,38,0.0,0.0,0.0
CWE-695,0,0,0,0.0,0.0,0.0
CWE-829,1,11,70,0.0833,0.0141,0.0241
CWE-1265,1,19,118,0.05,0.0084,0.0144
